tier,stack,service,path,current_wire,target_wire,evidence,projected_bench,notes
1,hanzo,jin multimodal,~/work/hanzo/jin,JSON+pickle+pt tensor I/O,zap-native tensor frames,"ZERO luxfi/zap imports; tensor wire currently provider-specific",not measured (new),Tier 1 once tensor schema exists
2,hanzo,zen LLM gateway,~/work/hanzo/zen/gateway,JSON+SSE+HTTP,zap-native sidecar,"OpenAI/Anthropic-shaped JSON outbound (Tier 4) but internal Hanzo<->Hanzo calls can ZAP-tunnel",not measured (new),Tier 4 external boundary kept JSON; internal tunnel can ZAP
1,hanzo,aci (AI chain),~/work/hanzo-experiments/aci,unknown (likely linearcodec inherited),zap-native,"Experiments tree; per LP-023 pattern all blockchain wire should already be ZAP",7.50x parse geomean (LP-023 measured),Hot path: per-block on AI chain
3,hanzo,zap-es TS encoder,~/work/hanzo/zap-es,zap-native (TS),zap-native,"npm package zap-es, TS Cap'n-Proto wire encoder for ZAP",N/A,Tier 5 — DONE on the TS side
1,securities-l1,ats writer/reader,~/work/securities-l1/ats,zap-native,zap-native,"3 files writer_zap*.go + zap_writer_server.go + bd_zap_reader.go + pkg/kmsclient/zap.go",measured in ats bench,Tier 5 — DONE
1,securities-l1,bd (broker-dealer),~/work/securities-l1/bd,zap-native,zap-native,"2 hits in bd/main.go + tasks_smoke_test.go",not yet separately measured,Tier 5 — DONE/in-flight
2,securities-l1,kms rust client,~/work/securities-l1/operator/src/zapclient.rs,zap-native (Rust port),zap-native,"Rust port of luxfi/zap wire; verbatim compatible per file header",N/A (handshake bench),Tier 5 — DONE
2,securities-l1,evm/fhe/dex/aml/price/cli,~/work/securities-l1,zap-native (via go.mod),zap-native,"go.mod cites luxfi/zap; concrete call-site usage TBD",not measured,Tier 5 — DONE at link level
4,external,binance/coinbase market data feed,~/work/securities-l1/price+cli,external WebSocket/JSON,external,External vendors own format,N/A,Tier 4 — DON'T migrate
4,external,stripe/plivo/twilio,various services,external HTTP/JSON,external,External vendors own format,N/A,Tier 4 — DON'T migrate
4,external,openai/anthropic/together,zen/gateway,external HTTP/JSON,external,External vendors own format,N/A,Tier 4 — DON'T migrate
